regionname,year1,houseregionmedianprice
West Midlands,2003,100750
West Midlands,2004,122123.75
West Midlands,2005,132500
West Midlands,2006,138625
West Midlands,2007,145375
West Midlands,2008,145500
West Midlands,2009,139987.5
West Midlands,2010,145625
West Midlands,2011,144500
West Midlands,2012,144312.5
West Midlands,2013,147736.25
West Midlands,2014,153375
West Midlands,2015,160748.75
West Midlands,2016,167123.75
West Midlands,2017,176998.75
West Midlands,2018,186500
West Midlands,2019,193748.75
West Midlands,2020,201737.5
West Midlands,2021,217500
Yorkshire and The Humber,1995,45500
Yorkshire and The Humber,1996,45925
Yorkshire and The Humber,1997,48111.25
Yorkshire and The Humber,1998,49612.5
Yorkshire and The Humber,1999,51500
Yorkshire and The Humber,2000,54975
Yorkshire and The Humber,2001,58475
Yorkshire and The Humber,2002,65237.5
Yorkshire and The Humber,2003,80611.25
Yorkshire and The Humber,2004,101000
Yorkshire and The Humber,2005,117348.75
Yorkshire and The Humber,2006,124250
Yorkshire and The Humber,2007,132875
Yorkshire and The Humber,2008,133750
Yorkshire and The Humber,2009,127249.38
Yorkshire and The Humber,2010,134000
Yorkshire and The Humber,2011,131625
Yorkshire and The Humber,2012,130000
Yorkshire and The Humber,2013,131737.5
Yorkshire and The Humber,2014,137623.75
Yorkshire and The Humber,2015,142125
Yorkshire and The Humber,2016,148112.5
Yorkshire and The Humber,2017,154000
Yorkshire and The Humber,2018,158750
Yorkshire and The Humber,2019,163362.5
Yorkshire and The Humber,2020,169375
Yorkshire and The Humber,2021,180000
